,Latitude,Longitude,O3BelowCloud,UVAerosolIndex
408,-83.04666,-92.239105,0.0,-1.3629144
409,-82.597404,-90.93313,0.0,-1.2476095
410,-82.159454,-89.76809,0.0,-1.0033404
411,-81.729614,-88.71242,0.0,-0.9902643
412,-81.304886,-87.74235,0.0,-0.9962214
413,-81.009026,-87.10524,0.0,-0.81270856
414,-80.79787,-86.66626,0.0,-0.73393023
415,-80.4593,-85.988594,0.0,-0.6838924
416,-80.03275,-85.17761,0.0,-0.8238686
417,-79.59981,-84.395744,0.0,-0.657585
418,-79.157326,-83.63345,0.0,-0.8502542
419,-78.70188,-82.88188,0.0,-0.865176
420,-78.229645,-82.13249,0.0,-0.6223939
421,-77.73622,-81.37671,0.0,-0.7910034
422,-77.21647,-80.60562,0.0,-0.6062896
423,-76.66417,-79.80961,0.0,-0.5135002
424,-76.071655,-78.97798,0.0,-0.887478
425,-75.42919,-78.09849,0.0,-0.7671435
426,-74.72407,-77.15674,0.0,-0.622802
427,-73.9391,-76.13537,0.0,-0.36868998
428,-73.05011,-75.012825,0.0,0.03625235
429,-72.021286,-73.76149,-1.2676506e+30,-1.2676506e+30
430,-70.79599,-72.3443,-1.2676506e+30,-1.2676506e+30
431,-69.18968,-70.61806,-1.2676506e+30,-1.2676506e+30
432,-86.154144,128.20096,0.0,0.4068272
433,-87.4815,153.80147,0.0,0.5411083
434,-87.85125,-174.7657,0.0,-0.04670211
435,-87.61349,-147.33112,0.0,-0.19341873
436,-87.092636,-130.04562,0.0,0.46918777
437,-86.49707,-119.54339,0.0,-0.05918588
438,-85.902534,-112.6937,0.0,0.16438644
439,-85.331696,-107.87241,0.0,-0.077776216
440,-84.789375,-104.26262,0.0,-0.32906097
441,-84.2744,-101.427605,0.0,-0.7967612
442,-83.783615,-99.116806,0.0,-0.7676669
443,-83.3134,-97.17698,0.0,-0.71703005
444,-82.86015,-95.509125,0.0,-0.45427066
445,-82.42045,-94.04616,0.0,-1.0390995
446,-81.991104,-92.740746,0.0,-1.1718423
447,-81.56914,-91.55824,0.0,-1.1246957
448,-81.15169,-90.47242,0.0,-1.095492
449,-80.860634,-89.75977,0.0,-0.8850981
450,-80.6528,-89.26929,0.0,-0.7884403
451,-80.319374,-88.5129,0.0,-0.7420045
452,-79.89902,-87.60899,0.0,-0.7609719
453,-79.47206,-86.73931,0.0,-1.0053132
454,-79.03543,-85.8934,0.0,-1.3302393
455,-78.58577,-85.06161,-0.0,-1.3309406
456,-78.11932,-84.234695,0.0,-0.9200337
457,-77.63175,-83.40346,0.0,-0.60712886
458,-77.11798,-82.5584,0.0,-0.61623186
459,-76.57187,-81.68935,0.0,-0.6160775
460,-75.985825,-80.78505,0.0,-0.6903979
461,-75.35021,-79.832664,0.0,-0.8679509
462,-74.65244,-78.81715,0.0,-0.605183
463,-73.875465,-77.72038,0.0,-0.42776054
464,-72.99526,-76.51988,0.0,-0.05568382
465,-71.97626,-75.18677,-1.2676506e+30,-1.2676506e+30
466,-70.76212,-73.682175,-1.2676506e+30,-1.2676506e+30
467,-69.16947,-71.855,-1.2676506e+30,-1.2676506e+30
468,-86.008514,134.08304,0.0,0.14919688
469,-87.17146,160.23447,0.0,0.59517044
470,-87.43161,-172.13065,0.0,-0.13709198
471,-87.18601,-149.12369,0.0,-0.5795611
472,-86.70398,-133.72649,0.0,-0.5889893
473,-86.149254,-123.692116,0.0,0.08592733
474,-85.58833,-116.82375,0.0,-0.25176147
475,-85.044334,-111.839226,0.0,-0.6202102
476,-84.52373,-108.03387,0.0,0.15753272
477,-84.0267,-105.007164,0.0,0.0014205053
478,-83.55111,-102.51924,0.0,-0.28281096
479,-83.094,-100.41879,0.0,-0.64371574
480,-82.65225,-98.605774,0.0,-0.8113312
481,-82.22282,-97.011246,0.0,-0.5893146
482,-81.802765,-95.585915,0.0,-0.87937385
483,-81.389305,-94.293335,0.0,-0.7924477
484,-80.97975,-93.10573,0.0,-0.5404473
485,-80.69392,-92.326004,0.0,-0.7157188
486,-80.48969,-91.78949,0.0,-0.72411114
487,-80.16186,-90.96235,0.0,-0.8959593
488,-79.748215,-89.97428,0.0,-0.8060913
489,-79.32775,-89.02447,0.0,-0.3291154
490,-78.89748,-88.101715,0.0,-0.20753938
491,-78.454094,-87.195755,-0.0,-0.44126496
492,-77.993904,-86.29675,-0.0,-0.67153
493,-77.51265,-85.395004,0.0,-0.7104808
494,-77.005325,-84.480484,0.0,-0.8371896
495,-76.46585,-83.54253,0.0,-0.6144956
496,-75.886734,-82.56937,0.0,-0.41313753
497,-75.258446,-81.54763,0.0,-0.6174406
498,-74.5685,-80.461655,0.0,-0.7120353
499,-73.79999,-79.29257,0.0,-0.50889903
500,-72.92908,-78.01699,0.0,-0.03134094
501,-71.92041,-76.604774,0.0,0.46196783
502,-70.71798,-75.01527,-1.2676506e+30,-1.2676506e+30
503,-69.13959,-73.08954,-1.2676506e+30,-1.2676506e+30
504,-85.82223,139.49484,0.0,0.116494
505,-86.831665,165.32997,0.0,0.29336563
506,-87.007324,-170.26263,0.0,0.09267516
507,-86.75625,-150.46645,0.0,-0.31534156
508,-86.3047,-136.64183,0.0,-0.5447863
509,-85.784935,-127.15515,0.0,-0.013243487
510,-85.25476,-120.40232,0.0,0.6317317
511,-84.73642,-115.36759,0.0,0.05845693
512,-84.237206,-111.45234,0.0,-0.44981462
513,-83.758255,-108.29806,0.0,-0.6061325
514,-83.29817,-105.68157,0.0,-0.3403236
515,-82.85461,-103.45798,0.0,-0.5369657
516,-82.42485,-101.529335,0.0,-0.76404536
517,-82.00619,-99.82696,0.0,-0.28818518
518,-81.59593,-98.30109,0.0,-0.60976905
519,-81.19148,-96.91453,0.0,-0.7742304
520,-80.79031,-95.63868,0.0,-1.0359472
521,-80.51003,-94.80015,0.0,-0.715195
